[2023-10-11 22:09:32,535: Type-> INFO: File-> common: Message-> created directory at: artifacts/prepare_base_model]
[2023-10-11 22:09:33,085: Type-> WARNING: File-> saving_utils: Message-> Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-10-11 22:09:33,347: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model completed]
[2023-10-11 22:09:33,348: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:09:33,348: Type-> INFO: File-> main: Message-> >>>>>> Stage Training]
[2023-10-11 22:09:33,350: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:09:33,353: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:09:33,354: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:09:33,355: Type-> INFO: File-> common: Message-> created directory at: artifacts\training]
[2023-10-11 22:11:06,487: Type-> INFO: File-> main: Message-> >>>>>> Stage Training completed]
[2023-10-11 22:32:54,897: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:32:54,901: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:32:54,903: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:33:29,219: Type-> INFO: File-> common: Message-> json file saved at: scores.json]
[2023-10-11 22:33:36,851: Type-> INFO: File-> builder_impl: Message-> Assets written to: C:\Users\abhis\AppData\Local\Temp\tmp3f6gtjhr\model\data\model\assets]
[2023-10-11 22:38:58,577: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:38:58,582: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:38:58,586: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:39:31,086: Type-> INFO: File-> common: Message-> json file saved at: scores.json]
[2023-10-11 22:39:39,303: Type-> INFO: File-> builder_impl: Message-> Assets written to: C:\Users\abhis\AppData\Local\Temp\tmp8bco14rl\model\data\model\assets]
[2023-10-11 22:47:40,162: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage started]
[2023-10-11 22:47:40,166: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:47:40,168: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:47:40,171: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:47:40,173: Type-> INFO: File-> common: Message-> created directory at: artifacts/data_ingestion]
[2023-10-11 22:47:40,175: Type-> INFO: File-> data_ingestion: Message-> Downloading data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:47:46,464: Type-> INFO: File-> data_ingestion: Message-> Downloaded data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:47:47,393: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage completed]
[2023-10-11 22:47:47,394: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:47:47,394: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model started]
[2023-10-11 22:47:47,397: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:47:47,400: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:47:47,402: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:47:47,403: Type-> INFO: File-> common: Message-> created directory at: artifacts/prepare_base_model]
[2023-10-11 22:47:48,147: Type-> WARNING: File-> saving_utils: Message-> Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-10-11 22:47:48,436: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model completed]
[2023-10-11 22:47:48,436: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:47:48,437: Type-> INFO: File-> main: Message-> >>>>>> Stage Training]
[2023-10-11 22:47:48,439: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:47:48,440: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:47:48,441: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:47:48,442: Type-> INFO: File-> common: Message-> created directory at: artifacts\training]
[2023-10-11 22:49:37,543: Type-> INFO: File-> main: Message-> >>>>>> Stage Training completed]
[2023-10-11 22:49:37,543: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:49:37,543: Type-> INFO: File-> main: Message-> >>>>>> Stage Evaluation stage started <<<<<<]
[2023-10-11 22:49:37,546: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:49:37,548: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:49:37,550: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:50:14,412: Type-> INFO: File-> common: Message-> json file saved at: scores.json]
[2023-10-11 22:50:14,414: Type-> INFO: File-> common: Message-> json file saved at: scores.json]
[2023-10-11 22:50:17,877: Type-> INFO: File-> builder_impl: Message-> Assets written to: C:\Users\abhis\AppData\Local\Temp\tmpofta5rln\model\data\model\assets]
[2023-10-11 22:50:31,500: Type-> INFO: File-> main: Message-> >>>>>> Stage Evaluation stage completed <<<<<<]
[2023-10-11 22:51:13,080: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage started]
[2023-10-11 22:51:13,084: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:51:13,086: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:51:13,086: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:51:13,087: Type-> INFO: File-> common: Message-> created directory at: artifacts/data_ingestion]
[2023-10-11 22:51:13,089: Type-> INFO: File-> data_ingestion: Message-> Downloading data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:51:19,485: Type-> INFO: File-> data_ingestion: Message-> Downloaded data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:51:20,417: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage completed]
[2023-10-11 22:51:20,417: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:51:20,417: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model started]
[2023-10-11 22:51:20,417: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:51:20,417: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:51:20,427: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:51:20,427: Type-> INFO: File-> common: Message-> created directory at: artifacts/prepare_base_model]
[2023-10-11 22:51:21,178: Type-> WARNING: File-> saving_utils: Message-> Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-10-11 22:51:21,521: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model completed]
[2023-10-11 22:51:21,521: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:51:21,521: Type-> INFO: File-> main: Message-> >>>>>> Stage Training]
[2023-10-11 22:51:21,536: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:51:21,536: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:51:21,536: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:51:21,536: Type-> INFO: File-> common: Message-> created directory at: artifacts\training]
[2023-10-11 22:54:57,475: Type-> INFO: File-> main: Message-> >>>>>> Stage Training completed]
[2023-10-11 22:54:57,475: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:54:57,475: Type-> INFO: File-> main: Message-> >>>>>> Stage Evaluation stage started <<<<<<]
[2023-10-11 22:54:57,475: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:54:57,475: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:54:57,475: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:55:30,148: Type-> INFO: File-> common: Message-> json file saved at: scores.json]
[2023-10-11 22:55:30,151: Type-> INFO: File-> common: Message-> json file saved at: scores.json]
[2023-10-11 22:55:33,243: Type-> INFO: File-> builder_impl: Message-> Assets written to: C:\Users\abhis\AppData\Local\Temp\tmp2cs70hom\model\data\model\assets]
[2023-10-11 22:55:45,363: Type-> INFO: File-> main: Message-> >>>>>> Stage Evaluation stage completed <<<<<<]
